HomePlanet,CryoSleep,Destination,Age,VIP,Transported,TotalSpend
2,1,1,1.2665182535381683,0,True,-0.527405394292201
3,1,1,-0.6168470932572871,0,True,-0.527405394292201
1,0,3,-0.407584276946681,0,False,-0.27443145280548786
1,0,2,-0.6168470932572871,0,False,0.2670030525153802
2,1,3,-0.19832146063607484,0,True,-0.527405394292201
1,0,1,-1.3143898142926411,0,False,-0.46622801966376987
1,0,1,1.4757810698487746,0,True,-0.2659989880892641
2,0,1,0.1504498998816021,0,False,2.9237411595339178
2,0,1,0.08069562777806671,1,True,-0.019349395139718742
2,0,1,2.103569518780593,0,True,0.4180847120143894
3,0,1,-1.8026697190173888,0,True,-0.527405394292201
1,0,3,0.5689755325028144,0,False,-0.16831436888170842
2,1,3,-0.19832146063607484,0,True,-0.527405394292201
1,0,1,0.08069562777806671,0,True,-0.27337739471595984
1,0,1,-2.011932535327995,0,False,-0.527405394292201
1,1,1,-0.3378300048431456,0,False,-0.527405394292201
1,0,1,-0.407584276946681,0,True,-0.527405394292201
1,0,1,1.4757810698487746,0,False,-0.24526917899521397
2,1,1,0.3597127161922083,0,True,-0.527405394292201
3,0,1,-2.478169566570024e-16,0,False,0.43143611448174374
2,0,3,-0.5470928211537518,0,False,0.6798424709138357
3,0,1,-0.6168470932572871,0,False,0.0017403362288043206
1,1,1,-2.478169566570024e-16,0,True,-0.527405394292201
2,1,1,1.6152896140558453,0,True,-0.527405394292201
1,0,1,-0.407584276946681,0,True,0.43354423066079967
1,1,1,-1.5934069027067825,0,False,-0.527405394292201
1,0,1,1.8245524303664515,0,True,-0.37070209164904255
1,0,1,-0.4773385490502164,0,True,-0.2884855606658608
2,1,3,0.6387298046063499,0,True,-0.527405394292201
1,0,3,-0.5470928211537518,0,False,-0.20930998474688176
2,0,3,0.7782383488134206,0,False,9.254956381920394
1,1,1,0.847992620916956,0,True,-0.527405394292201
2,0,1,0.2899584440886729,0,False,-0.07872800084979446
1,0,1,0.1504498998816021,0,False,0.008056115188008516
3,1,1,-2.478169566570024e-16,0,True,-0.527405394292201
1,0,1,-2.011932535327995,0,True,-0.527405394292201
3,0,3,-2.011932535327995,0,True,-0.527405394292201
1,1,1,-2.011932535327995,0,False,-0.527405394292201
1,1,3,-1.7329154469138535,0,True,-0.527405394292201
2,1,3,-0.6866013653608226,0,True,-0.527405394292201
1,0,1,0.010941355674531326,0,False,-0.24491782629870465
3,1,1,1.196763981434633,0,True,-0.4471366107765355
1,0,1,0.010941355674531326,0,True,-0.24913405865681654
3,0,1,-0.407584276946681,0,False,-0.06767569854646578
2,0,3,1.54553534195231,1,True,0.10327269594203527
1,1,1,1.4757810698487746,0,True,-0.527405394292201
3,1,3,-0.12856718853253946,0,True,-0.527405394292201
1,0,1,-0.05881291642900406,0,False,-0.24632323708474194
1,1,3,0.6387298046063499,0,True,-0.527405394292201
2,1,2,0.08069562777806671,0,True,-0.527405394292201
1,0,1,-0.6866013653608226,0,False,-0.24597188438823261
1,0,1,-0.756355637464358,0,False,0.29616532632565407
3,0,1,0.9875011651240267,0,False,-0.09699834106827931
2,1,1,-0.05881291642900406,0,True,-0.527405394292201
1,1,1,-0.3378300048431456,0,True,-0.527405394292201
1,1,1,-1.8026697190173888,0,True,-0.527405394292201
2,0,3,1.1270097093310976,0,False,2.0504693399967078
1,0,2,0.7782383488134206,0,False,-0.1776882420610426
1,0,1,0.5689755325028144,0,False,-0.21153932013031887
3,1,1,0.9875011651240267,0,True,-0.527405394292201
1,1,3,0.6387298046063499,0,True,-0.527405394292201
1,0,1,-0.6168470932572871,0,False,0.27086793217698274
1,1,3,-2.011932535327995,0,True,-0.527405394292201
3,0,1,-0.4773385490502164,0,False,-0.07134959422309867
3,0,1,-0.6866013653608226,0,True,0.10151593245948866
3,0,1,-0.756355637464358,0,True,0.2965166790221634
1,0,1,-0.9656184537749641,0,False,-0.10987717163474316
1,0,3,-0.12856718853253946,0,True,-0.281107154039165
1,0,2,0.5689755325028144,0,False,-0.26283681382068014
2,0,3,1.9640609745735222,0,False,1.9928474977691788
1,0,2,-0.5470928211537518,0,False,-0.46622801966376987
1,0,1,1.196763981434633,0,False,-0.21680961057795872
2,0,3,-2.478169566570024e-16,0,False,3.2816091885653784
1,1,1,-1.1051269979820348,0,True,-0.46622801966376987
1,1,2,-0.8261099095678933,0,False,-0.527405394292201
2,0,1,-0.05881291642900406,0,False,2.526903596463351
3,1,1,-2.478169566570024e-16,0,False,-0.527405394292201
1,1,1,-2.478169566570024e-16,0,True,-0.527405394292201
2,0,1,0.2202041719851375,0,False,1.466872511094721
2,0,3,-0.05881291642900406,0,True,1.1362496236794473
1,0,1,-0.756355637464358,0,True,-0.23648536158248087
1,0,1,1.6850438861593806,0,False,-0.19990267570970235
1,0,1,-0.2680757327396102,0,True,-0.21399878900588415
1,1,1,-0.5470928211537518,0,True,-0.46622801966376987
1,1,1,-1.4538983584997118,0,True,-0.527405394292201
2,1,3,-0.8261099095678933,0,True,-0.527405394292201
1,0,1,0.2202041719851375,0,False,-0.256161112587003
1,1,1,-0.6168470932572871,0,True,-0.527405394292201
1,1,2,0.6387298046063499,0,False,-0.527405394292201
1,1,3,0.5689755325028144,0,True,-0.527405394292201
1,1,3,1.196763981434633,0,True,-0.527405394292201
1,0,1,-0.756355637464358,0,False,-0.26459357730322675
3,0,1,-1.8026697190173888,0,True,-0.527405394292201
3,1,1,-2.011932535327995,0,True,-0.527405394292201
2,0,3,-0.19832146063607484,0,True,1.232520262523002
1,0,1,-1.5236526306032472,0,False,-0.527405394292201
1,1,2,-0.756355637464358,0,True,-0.527405394292201
1,0,1,-0.407584276946681,0,True,-0.4068494139536941
3,0,1,0.42946698829574365,0,True,1.980198800694843
1,0,2,0.9177468930204914,0,False,-0.24386376820917666
2,1,3,1.6152896140558453,0,True,-0.41566666722427237
1,0,1,1.894306702469987,0,False,-0.2607286976416242
1,1,3,-1.1051269979820348,0,True,-0.527405394292201
1,1,2,-0.6168470932572871,0,True,-0.46622801966376987
1,0,1,2.312832335091199,0,False,-0.21364743630937483
1,0,3,-0.4773385490502164,0,False,-0.30253966852623376
1,0,1,-0.4773385490502164,0,False,-0.243161062816158
1,1,1,-0.8261099095678933,0,True,-0.527405394292201
2,0,3,0.9875011651240267,0,False,1.4162777227973784
2,0,1,-1.2446355421891058,0,True,-0.527405394292201
1,0,1,2.3825866071947344,0,False,0.3337600648521517
2,0,1,-0.19832146063607484,1,False,0.47605790693842787
1,0,1,-2.478169566570024e-16,0,True,0.39630084483081135
1,0,3,0.9177468930204914,0,False,-0.281107154039165
1,0,1,1.4060267977452392,0,False,0.346057409229978
1,0,1,-0.6866013653608226,0,True,0.4514632181827752
1,0,1,1.6850438861593806,0,True,0.30213832216631253
3,1,1,-1.5934069027067825,0,True,-0.4471366107765355
2,0,3,-0.756355637464358,0,False,0.1977865713030434
2,0,1,-0.4773385490502164,0,False,1.1833308850116966
1,0,2,0.3597127161922083,0,False,-0.22278260641861725
1,0,1,1.8245524303664515,0,False,-0.011268283120004295
2,0,1,0.7782383488134206,0,True,2.170280609506387
3,1,1,-0.6168470932572871,0,True,-0.527405394292201
3,0,1,0.5689755325028144,0,False,0.10502945942458189
2,0,3,-0.19832146063607484,0,True,2.5655523930793764
3,0,1,-0.407584276946681,0,False,0.12646197391165065
1,0,1,-0.5470928211537518,0,True,-0.24491782629870465
1,0,1,0.08069562777806671,0,False,-0.26810710426832
1,0,1,-0.4773385490502164,0,True,-0.21680961057795872
2,1,1,-0.12856718853253946,1,True,-0.527405394292201
2,0,1,0.3597127161922083,0,False,2.4506600613208276
1,1,3,-0.8261099095678933,0,True,-0.527405394292201
1,1,2,0.49922126039927905,0,True,-0.527405394292201
1,1,1,0.847992620916956,0,True,-0.527405394292201
1,0,1,1.6152896140558453,0,False,-0.22945830765229439
2,0,1,-0.12856718853253946,0,False,2.2103348169084502
1,1,2,0.2899584440886729,0,True,-0.527405394292201
2,1,1,-0.05881291642900406,0,True,-0.527405394292201
3,0,1,1.8245524303664515,0,False,0.42440906055155725
1,0,1,-0.4773385490502164,0,True,-0.2519448802288911
1,0,1,-1.2446355421891058,0,False,-0.527405394292201
3,0,1,0.2202041719851375,0,False,1.952132590409906
3,1,1,0.42946698829574365,0,True,-0.527405394292201
1,0,1,-0.407584276946681,0,False,-0.05518737018366977
2,0,3,-0.2680757327396102,0,True,1.3755208100022969
2,1,1,-0.4773385490502164,0,True,-0.527405394292201
1,0,2,0.2202041719851375,0,False,-0.31975595065519063
1,1,1,-0.4773385490502164,0,True,-0.527405394292201
1,0,1,-0.8958641816714288,0,False,-0.21435014170239347
1,1,3,-1.0353727258784995,0,True,-0.527405394292201
1,1,2,-0.3378300048431456,0,False,-0.527405394292201
2,0,1,-0.19832146063607484,1,True,1.4876023201887711
3,1,3,0.9875011651240267,0,True,-0.527405394292201
1,1,1,-1.5236526306032472,0,False,-0.527405394292201
1,0,2,-0.4773385490502164,0,True,-0.20274693313962214
1,1,1,1.4060267977452392,0,True,-0.527405394292201
3,0,1,1.2665182535381683,0,True,-0.025673743676886573
1,1,1,0.6387298046063499,0,True,-0.527405394292201
1,1,1,-0.5470928211537518,0,False,-0.527405394292201
3,0,1,-0.8261099095678933,0,False,0.138759318289477
1,1,3,-0.756355637464358,0,False,-0.527405394292201
1,0,2,1.196763981434633,0,False,-0.27298403658364173
2,0,1,-0.19832146063607484,0,True,-0.527405394292201
3,0,1,-0.8261099095678933,0,True,0.665085657660444
2,1,3,0.7782383488134206,0,True,-0.527405394292201
1,0,1,1.3362725256417036,0,False,-0.44678525808002617
1,1,1,-0.407584276946681,0,False,-0.527405394292201
1,0,1,-0.6866013653608226,0,True,-0.527405394292201
2,1,1,2.2430780629876637,0,True,-0.527405394292201
2,0,1,0.2202041719851375,0,False,0.08781317729562502
1,0,1,0.42946698829574365,0,True,0.09729970010137677
3,0,1,-1.3841440863961765,0,True,-0.527405394292201
1,0,1,-0.05881291642900406,0,True,-0.21435014170239347
2,0,1,-1.7329154469138535,0,True,-0.527405394292201
2,0,1,0.08069562777806671,0,True,0.4841390189581423
2,1,3,-0.05881291642900406,0,True,-0.527405394292201
3,0,1,1.4060267977452392,0,True,-0.1556742413853364
1,0,3,-1.0353727258784995,0,True,-0.40009449895144455
1,0,1,-0.05881291642900406,0,True,-0.30394507931227105
3,1,1,1.1270097093310976,0,True,-0.527405394292201
1,0,1,0.2202041719851375,0,True,-0.2087284985582443
1,0,3,-0.6866013653608226,0,True,-0.11455740631578186
2,0,3,1.2665182535381683,0,False,0.09659699470835811
1,1,1,0.7782383488134206,0,True,-0.527405394292201
2,1,3,1.6850438861593806,0,True,-0.46622801966376987
3,0,1,2.3825866071947344,0,False,-0.0035299542188355366
1,1,3,-0.756355637464358,0,True,-0.527405394292201
1,1,1,0.9875011651240267,0,True,-0.527405394292201
3,0,1,0.010941355674531326,0,False,0.6566531929442203
1,1,1,-1.8724239911209242,0,True,-0.527405394292201
2,0,1,0.6387298046063499,0,False,1.9717663359786193
1,1,1,-0.8958641816714288,0,True,-0.35718746454149825
2,0,1,0.9875011651240267,0,False,0.6655582295613345
1,0,3,-0.6168470932572871,0,True,-0.27548551089501583
1,1,1,-0.19832146063607484,0,True,-0.527405394292201
1,1,2,1.6152896140558453,0,False,-0.527405394292201
1,1,2,-0.8261099095678933,0,True,-0.527405394292201
2,0,1,1.9640609745735222,0,True,-0.527405394292201
1,0,1,-0.6866013653608226,0,True,-0.11667409207280144
2,0,1,-0.19832146063607484,0,False,0.19602980782049675
2,0,1,1.0572554372275622,0,True,-0.527405394292201
1,0,1,0.6387298046063499,0,False,-0.25089082213936315
1,0,1,-0.12856718853253946,0,True,-0.24772864787077922
3,0,3,1.8245524303664515,0,False,0.0653266047190283
1,0,1,0.9875011651240267,0,True,-0.27935039055661837
3,0,1,-0.12856718853253946,1,False,0.08289423954449449
3,0,3,0.49922126039927905,0,True,2.6892285422506585
2,1,3,-0.19832146063607484,0,True,-0.527405394292201
1,0,3,-0.3378300048431456,0,False,-0.2842693283077489
1,0,3,-0.5470928211537518,0,False,1.0160870014732586
2,0,1,1.9640609745735222,0,True,-0.527405394292201
1,0,1,1.2665182535381683,0,False,0.037569741694791714
2,0,1,0.08069562777806671,0,True,4.454775842210011
1,1,1,-1.8026697190173888,0,False,-0.527405394292201
2,0,1,2.1733237908841283,0,True,0.2055605172247704
1,0,1,0.08069562777806671,0,True,-0.24597188438823261
2,0,1,-0.12856718853253946,0,False,1.5747377889230834
1,0,1,-0.19832146063607484,0,True,0.8270592507512423
1,0,1,-0.05881291642900406,0,False,0.11240786605127769
1,0,1,2.3825866071947344,0,True,-0.30078290504368715
1,0,1,0.3597127161922083,0,False,0.5607339067971749
3,0,1,-1.1051269979820348,0,False,0.17296174905526251
2,1,3,-0.2680757327396102,0,True,-0.527405394292201
1,1,1,-2.478169566570024e-16,0,True,-0.527405394292201
1,0,1,-1.8026697190173888,0,True,-0.527405394292201
1,0,1,0.9875011651240267,0,False,0.16792159209975085
1,1,1,-1.7329154469138535,0,True,-0.527405394292201
2,0,1,0.7782383488134206,0,True,0.9879787857525126
3,0,1,0.42946698829574365,0,False,-0.24351241551266734
2,1,3,-0.6866013653608226,0,True,-0.527405394292201
1,0,3,-1.7329154469138535,0,True,-0.527405394292201
1,0,1,-0.12856718853253946,0,True,-0.05026843243253924
2,1,3,0.7084840767098852,0,True,-0.527405394292201
1,1,3,-0.4773385490502164,0,True,-0.527405394292201
1,1,2,-1.7329154469138535,0,True,-0.527405394292201
1,0,2,-0.19832146063607484,0,False,-0.33767493817716615
1,0,1,2.0338152466770576,0,False,0.1521107207568313
1,0,1,-0.5470928211537518,0,False,-0.27337739471595984
1,0,1,-0.6866013653608226,0,True,-0.31413430751104143
1,0,1,-0.407584276946681,0,True,-0.2505394694428538
1,0,1,0.42946698829574365,0,False,-0.022511569408302658
3,1,1,1.2665182535381683,0,True,-0.3622254403342968
3,0,1,-0.19832146063607484,0,False,0.07656989100732665
2,0,1,0.2899584440886729,1,True,2.1829293065807227
2,0,2,0.6387298046063499,1,False,2.81852633456609
1,0,1,-0.756355637464358,0,False,-0.24526917899521397
3,1,1,-0.12856718853253946,0,True,-0.527405394292201
1,1,1,-1.1748812700855702,0,True,-0.527405394292201
